20170085,Lady Macbeth (2017),85,89,88,371
20170086,Detroit (2017),86,142,83,198
20170087,Gook (2017),87,94,94,194
20170088,Okja (2017),88,118,86,58
20170089,Human Flow (2017),89,140,91,6
20170090,Abacus: Small Enough to Jail (2017),90,88,93,339
20170091,Jim & Andy: The Great Beyond - Featuring a Very Special; Contractually Obligated Mention of Tony Clifton (2017),91,94,94,79
20170092,Icarus (2017),92,110,94,65
20170093,All This Panic (2017),93,79,94,164
20170094,Maudie (2017),94,115,89,7
20170095,Land of Mine (Under Sandet) (2017),95,110,91,243
20170096,The Other Side of Hope (Toivon tuolla puolen) (2017),96,98,91,8
20170097,Endless Poetry (Poes\xeda Sin Fin) (2017),97,128,93,11
20170098,Silence (2017),98,161,83,242
20170099,Obit (2017),99,93,93,366
20170100,Brawl in Cell Block 99 (2017),100,132,91,322
20180001,Black Panther (2018),1,135,97,320
20180002,Mission: Impossible - Fallout (2018),2,147,97,81
20180003,BlacKkKlansman (2018),3,135,96,335
20180004,Spider-Man: Into the Spider-Verse (2018),4,100,97,57
20180005,A Star Is Born (2018),5,135,90,61
20180006,Eighth Grade (2018),6,94,99,56
20180007,Roma (2018),7,135,95,19
20180008,A Quiet Place (2018),8,90,95,175
20180009,Can You Ever Forgive Me? (2018),9,107,98,239
20180010,Incredibles 2 (2018),10,118,94,60
20180011,Call Me by Your Name (2018),11,130,95,224
20180012,The Favourite (2018),12,119,93,375
20180013,Paddington 2 (2018),13,105,100,287
20180014,Leave No Trace (2018),14,109,100,106
20180015,Widows (2018),15,128,91,340
20180016,Won't You Be My Neighbor? (2018),16,94,98,266
20180017,Shoplifters (Manbiki kazoku) (2018),17,121,99,143
20180018,Ant-Man and the Wasp (2018),18,118,88,298
20180019,The Death of Stalin (2018),19,107,96,38
20180020,Crazy Rich Asians (2018),20,120,91,176
20180021,The Hate U Give (2018),21,132,97,133
20180022,Phantom Thread (2018),22,130,91,289
20180023,Sorry to Bother You (2018),23,105,93,59
20180024,Avengers: Infinity War (2018),24,156,85,35
20180025,Isle of Dogs (2018),25,101,90,370
20180026,I; Tonya (2018),26,119,89,89
20180027,The Post (2018),27,115,88,343
20180028,First Man (2018),28,138,86,94
20180029,Hereditary (2018),29,127,89,37
20180030,The Old Man & the Gun (2018),30,93,93,104
20180031,Minding the Gap (2018),31,93,100,55
20180032,The Rider (2018),32,104,97,76
20180033,Three Identical Strangers (2018),33,96,97,355
20180034,McQueen (2018),34,111,99,146
20180035,A Fantastic Woman (Una mujer fant\xe1stica) (2018),35,100,94,330
20180036,Summer 1993 (Estiu 1993) (2018),36,96,100,68
20180037,First Reformed (2018),37,108,93,288
20180038,Free Solo (2018),38,97,97,117
20180039,Burning (Beoning) (2018),39,148,95,75
20180040,Searching (2018),40,101,92,30
20180041,Wildlife (2018),41,104,94,286
20180042,Cold War (Zimna wojna) (2018),42,89,92,290
20180043,Shirkers (2018),43,96,100,327
20180044,Deadpool 2 (2018),44,119,84,103
20180045,Tea With the Dames (Nothing Like a Dame) (2018),45,94,99,318
20180046,Border (Gr\xe4ns) (2018),46,110,97,20
20180047,The Tale (2018),47,114,99,163
20180048,Loveless (Nelyubov) (2018),48,129,94,28
20180049,The Guilty (Den skyldige) (2018),49,85,97,139
20180050,Annihilation (2018),50,85,88,13
20180051,Hannah Gadsby: Nanette (2018),51,69,100,229
20180052,Night Comes On (2018),52,87,100,183
20180053,Bumblebee (2018),53,119,91,361
20180054,RBG (2018),54,96,94,53
20180055,Blindspotting (2018),55,95,94,70
20180056,You Were Never Really Here (2018),56,89,89,228
20180057,Love; Simon (2018),57,109,91,134
20180058,The Ballad of Buster Scruggs (2018),58,132,91,173
20180059,Mandy (2018),59,120,90,284
20180060,Zama (2018),60,115,96,225
20180061,In Between (2018),61,96,98,253
20180062,The Cakemaker (2018),62,105,98,279
20180063,Foxtrot (2018),63,114,94,326
20180064,Science Fair (2018),64,90,97,91
20180065,Ralph Breaks the Internet (2018),65,114,88,299
20180066,Custody (Jusqu'\xe0 la garde) (2018),66,93,95,373
20180067,Oh Lucy! (2018),67,96,98,40
20180068,Sweet Country (2018),68,113,96,369
20180069,Hale County This Morning; This Evening (2018),69,76,97,306
20180070,To All the Boys I've Loved Before (2018),70,100,97,345
20180071,Ryuichi Sakamoto: Coda (2018),71,102,98,275
20180072,Marlina the Murderer in Four Acts (2018),72,93,98,267
20180073,Leaning Into the Wind (2018),73,93,98,354
20180074,Pick of the Litter (2018),74,81,97,96
20180075,Rodents of Unusual Size (2018),75,71,98,303
20180076,Thunder Road (2018),76,91,96,303
20180077,Lean on Pete (2018),77,121,91,26
20180078,I Am Not a Witch (2018),78,90,96,319
20180079,Western (2018),79,119,96,365
20180080,Blaze (2018),80,127,95,121
20180081,Tully (2018),81,94,86,160
20180082,Private Life (2018),82,123,94,348
20180083,Filmworker (2018),83,94,95,360
20180084,Beast (2018),84,107,92,257
20180085,American Animals (2018),85,120,89,45
20180086,On Her Shoulders (2018),86,94,96,17
20180087,Dark Money (2018),87,99,96,202
20180088,Support the Girls (2018),88,90,91,25
20180089,1985 (2018),89,85,96,374
20180090,Hearts Beat Loud (2018),90,97,91,62
20180091,Revenge (2018),91,108,92,85
20180092,The Endless (2018),92,112,92,193
20180093,Creed II (2018),93,130,84,341
20180094,Capernaum (Capharna\xfcm) (2018),94,123,90,269
20180095,Bisbee '17 (2018),95,89,95,316
20180096,The Guardians (Les Gardiennes) (2018),96,134,95,372
20180097,CAM (2018),97,94,93,97
20180098,We the Animals (2018),98,92,93,165
20180099,Teen Titans Go! To the Movies (2018),99,92,91,1
20180100,Good Manners (As Boas Maneiras) (2018),100,135,95,238
20190001,Parasite (Gisaengchung) (2019),1,132,99,58
20190002,Avengers: Endgame (2019),2,182,94,35
20190003,Us (2019),3,120,93,182
20190004,Knives Out (2019),4,130,97,309
20190005,Toy Story 4 (2019),5,90,97,185
20190006,The Irishman (2019),6,209,96,242
20190007,Little Women (2019),7,NULL,95,136
20190008,Booksmart (2019),8,105,97,280
20190009,The Farewell (2019),9,98,98,227
20190010,Marriage Story (2019),10,136,95,277
20190011,A Beautiful Day in the Neighborhood (2019),11,108,96,239
20190012,If Beale Street Could Talk (2019),12,117,95,44
20190013,Spider-Man: Far From Home (2019),13,130,90,179
20190014,Pain and Glory (Dolor y gloria) (2019),14,112,97,291
20190015,Once Upon a Time In Hollywood (2019),15,159,85,302
20190016,Shazam! (2019),16,130,90,101
20190017,Apollo 11 (2019),17,93,99,357
20190018,Ford v Ferrari (2019),18,152,92,156
20190019,Dolemite Is My Name (2019),19,118,97,88
20190020,Uncut Gems (2019),20,135,92,186
20190021,The Lighthouse (2019),21,110,90,315
20190022,Rocketman (2019),22,121,89,110
20190023,Amazing Grace (2019),23,87,99,275
20190024,They Shall Not Grow Old (2019),24,99,99,296
20190025,Ash Is Purest White (2019),25,136,99,275
20190026,John Wick: Chapter 3 - Parabellum (2019),26,131,90,74
20190027,The Peanut Butter Falcon (2019),27,93,96,364
20190028,Honeyland (2019),28,85,100,220
20190029,Knock Down the House (2019),29,86,100,304
20190030,Honey Boy (2019),30,93,94,22
20190031,Fighting with My Family (2019),31,107,93,338
20190032,One Cut of the Dead (Kamera o tomeru na!) (2019),32,96,100,333
20190033,Birds of Passage (P\xe1jaros de verano) (2019),33,125,96,92
20190034,Maiden (2019),34,97,98,14
20190035,For Sama (2019),35,94,99,367
20190036,How to Train Your Dragon: The Hidden World (2019),36,110,91,105
20190037,Driveways (2019),37,83,100,24
20190038,Hustlers (2019),38,107,87,223
20190039,Atlantics (2019),39,104,96,244
20190040,Stan & Ollie (2019),40,97,93,177
20190041,One Child Nation (2019),41,89,98,270
20190042,3 Faces (2019),42,100,98,151
20190043,The Last Black Man in San Francisco (2019),43,120,93,171
20190044,Woman at War (Kona fer \xed str\xed\xf0) (2019),44,101,97,46
20190045,Chained for Life (2019),45,92,100,2
20190046,Midnight Family (2019),46,81,99,226
20190047,Captain Marvel (2019),47,128,78,31
20190048,First Love (Hatsukoi) (2019),48,108,97,347
20190049,Tigers Are Not Afraid (Vuelven) (2019),49,83,97,147
20190050,The Chambermaid (La camarista) (2019),50,102,99,217
20190051,Deadwood: The Movie (2019),51,109,98,98
20190052,Transit (2019),52,101,94,80
20190053,Mickey and the Bear (2019),53,88,100,32
20190054,Midnight Traveler (2019),54,87,100,142
20190055,Varda by Agn\xe8s (2019),55,115,98,5
20190056,Hail Satan? (2019),56,95,96,293
20190057,Ready or Not (2019),57,95,88,245
20190058,Toni Morrison: The Pieces I Am (2019),58,119,97,356
20190059,Ad Astra (2019),59,124,84,154
20190060,Midsommar (2019),60,140,83,37
20190061,Blinded by the Light (2019),61,114,89,138
20190062,The Heiresses (Las Herederas) (2019),62,95,97,236
20190063,Wild Rose (2019),63,101,92,359
20190064,63 Up (2019),64,138,98,255
20190065,Too Late to Die Young (Tarde para morir joven) (2019),65,110,98,112
20190066,Homecoming: A Film by Beyonc\xe9 (2019),66,137,98,54
20190067,By the Grace of God (Gr\xe2ce \xe0 Dieu) (2019),67,137,96,127
20190068,Little Woods (2019),68,103,96,272
20190069,Rojo (2019),69,109,98,47
20190070,Circus of Books (2019),70,92,98,305
20190071,Gloria Bell (2019),71,102,91,330
20190072,Dark Waters (2019),72,126,90,358
20190073,The Garden Left Behind (2019),73,88,98,126
20190074,Rosie (2019),74,86,98,282
20190075,The Mustang (2019),75,96,94,212
20190076,American Factory (2019),76,115,96,191
20190077,Fiddler: A Miracle of Miracles (2019),77,92,98,252
20190078,Working Woman (2019),78,93,98,260
20190079,Making Waves: The Art of Cinematic Sound (2019),79,94,97,261
20190080,The Cave (2019),80,95,97,122
20190081,The Kingmaker (2019),81,101,97,213
20190082,Love; Antosha (2019),82,92,97,130
