65000471,Björn Andrésen,22.Jan.55
65000472,Bjorn Ingi Hilmarsson,Not Available
65000473,Blaine Maye,Not Available
65000474,Blair Jasin,Not Available
65000475,Blake Clark,2.Feb.46
65000476,Blake Jenner,Not Available
65000477,Blake Robbins,17.Jun.65
65000478,Blanca Araceli,Not Available
65000479,Blessin Giraldo,Not Available
65000480,Bluesy Burke,Not Available
65000481,Blythe Danner,3.Feb.43
65000482,Bo Burnham,Not Available
65000483,Bob Adrian,Not Available
65000484,Bob Balaban,16.Aug.45
65000485,Bob Dylan,24.May.41
65000486,Bob Jennings,Not Available
65000487,Bob Odenkirk,22.Oct.62
65000488,Bob Olin,Not Available
65000489,Boban Marjanovic,Not Available
65000490,Bobby Cannavale,3.May.71
65000491,Bojana Novakovic,Not Available
65000492,Bokeem Woodbine,13.Apr.73
65000493,Boluwatife Treasure Bankole,Not Available
65000494,Bonnie Hunt,22.Sep.61
65000495,Bonnie Riley,Not Available
65000496,Boris Cheshirkov,Not Available
65000497,Borys Szyc,4.Sep.78
65000498,Boston Rush Freeman,Not Available
65000499,Bouli Lanners,Not Available
65000500,Boyce Buchanan,Not Available
65000501,Boyd Holbrook,Not Available
65000502,Brad Dourif,18.Mar.50
65000503,Brad Garrett,14.Apr.60
65000504,Brad Pitt,18.Dec.63
65000505,Brad Potts,Not Available
65000506,Bradley Cooper,5.Jan.75
65000507,Bradley Whitford,10.Oct.59
65000508,Brandi Carlile,Not Available
65000509,Brandon Keener,Not Available
65000510,Brandon Melendy,Not Available
65000511,Brandon Scott Jones,Not Available
65000512,Brandon Wardle,Not Available
65000513,Brea Grant,16.Oct.81
65000514,Brenda Palmer,Not Available
65000515,Brenda Vaccaro,18.Nov.39
65000516,Brendan Gleeson,29.Mar.55
65000517,Brendan Meyer,2.Oct.94
65000518,Brendan Murphy,Not Available
65000519,Brent Langdon,Not Available
65000520,Brent Musberger,Not Available
65000521,Brett Gelman,Not Available
65000522,Brett Puglisi,Not Available
65000523,Bria Vinaite,Not Available
65000524,Brian Altemus,Not Available
65000525,Brian Dennehy,9.Jul.38
65000526,Brian Herring,Not Available
65000527,Brian Kaulback,Not Available
65000528,Brian Marler,Not Available
65000529,Brian Sacca,Not Available
65000530,Brian Schaeffer,Not Available
65000531,Brian Tarantina,27.Mar.59
65000532,Brian Townes,Not Available
65000533,Brian Tyree Henry,Not Available
65000534,Briana Shann,Not Available
65000535,Brianna Hildebrand,Not Available
65000536,Brianna Nowlin,Not Available
65000537,Bridey Elliott,Not Available
65000538,Bridget Moynahan,28.Apr.70
65000539,Brie Larson,1.Oct.89
65000540,Brigitte Kali,Not Available
65000541,Britt Sanborn,Not Available
65000542,Brock Yurich,Not Available
65000543,Brockton McKinney,Not Available
65000544,Brogan Hall,Not Available
65000545,Brontis Jodorowsky,Not Available
65000546,Brooke Bloom,Not Available
65000547,Brooke Ence,Not Available
65000548,Brooklyn Decker,12.Apr.87
65000549,Brooklynn Prince,Not Available
65000550,Bruce Balden,Not Available
65000551,Bruce Davis,Not Available
65000552,Bruce Dern,4.Jun.36
65000553,Bruce Greenwood,12.Aug.56
65000554,Bruce Springsteen,23.Sep.49
65000555,Bruce Willis,19.Mar.55
65000556,Bruna Cusí,Not Available
65000557,Bruno Bilotta,Not Available
65000558,Bryan Brown,23.Jun.47
65000559,Bryan Burton,Not Available
65000560,Bryan Cranston,7.Mar.56
65000561,Bryan Fogel,Not Available
65000562,Bryan Lillis,Not Available
65000563,Bryan Pitts,Not Available
65000564,Bryan Seslow,Not Available
65000565,Bryan Sloyer,Not Available
65000566,Bryant Tardy,Not Available
65000567,Bryce Dallas Howard,2.Mar.81
65000568,Bryce Romero,Not Available
65000569,Buddy Duress,Not Available
65000570,Bülent Üstün,Not Available
65000571,Buzz Aldrin,20.Jan.30
65000572,Byron Bowers,Not Available
65000573,Byron Diaz,Not Available
65000574,Byron Wigfall,Not Available
65000575,Byun Hee-bong,8.Jun.42
65000576,C.L. Franklin,Not Available
65000577,C.S. Lee,30.Dec.71
