movie_id,Title,Genre
20190046,Midnight Family (2019),Documentary
20190047,Captain Marvel (2019),Action & Adventure
20190047,Captain Marvel (2019),Science Fiction & Fantasy
20190048,First Love (Hatsukoi) (2019),Action & Adventure
20190048,First Love (Hatsukoi) (2019),Drama
20190048,First Love (Hatsukoi) (2019),Mystery & Suspense
20190049,The Chambermaid (La camarista) (2019),Art House & International
20190049,The Chambermaid (La camarista) (2019),Drama
20190050,Tigers Are Not Afraid (Vuelven) (2019),Art House & International
20190050,Tigers Are Not Afraid (Vuelven) (2019),Drama
20190050,Tigers Are Not Afraid (Vuelven) (2019),Horror
20190050,Tigers Are Not Afraid (Vuelven) (2019),Science Fiction & Fantasy
20190051,Deadwood: The Movie (2019),Drama
20190051,Deadwood: The Movie (2019),Western
20190052,Mickey and the Bear (2019),Drama
20190053,Midnight Traveler (2019),Documentary
20190054,Transit (2019),Art House & International
20190054,Transit (2019),Drama
20190055,Mickey and Varda by Agn\xe8s (2019the Bear (2019),Documentary
20190056,Hail Satan? (2019),Documentary
20190057,Ready or Not (2019),Horror
20190057,Ready or Not (2019),Mystery & Suspense
20190058,Toni Morrison: The Pieces I Am (2019),Documentary
20190059,Ad Astra (2019),Mystery & Suspense
20190059,Ad Astra (2019),Science Fiction & Fantasy
20190060,Midsommar (2019),Horror
20190061,Blinded by the Light (2019),Comedy
20190061,Blinded by the Light (2019),Drama
20190062,The Heiresses (Las Herederas) (2019),Drama
20190063,Wild Rose (2019),Comedy
20190063,Wild Rose (2019),Drama
20190064,63 Up (2019),Documentary
20190065,Too Late to Die Young (Tarde para morir joven) (2019),Art House & International
20190065,Too Late to Die Young (Tarde para morir joven) (2019),Drama
20190066,Homecoming: A Film by Beyonce' (2019),Documentary
20190066,Homecoming: A Film by Beyonce' (2019),Musical & Performing Arts
20190067,By the Grace of God (Gr\xe2ce \xe0 Dieu) (2019),Drama
20190068,Little Woods (2019),Drama
20190069,Rojo (2019),Drama
